name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,date
Ayla Secura,178,55,none,blue,hazel,48BBY,female,Ryloth,2023-02-17
Ratts Tyerel,79,15,none,"grey, blue",unknown,unknown,male,Aleen Minor,2023-02-17
Dud Bolt,94,45,none,"blue, grey",yellow,unknown,male,Vulpter,2023-02-17
Gasgano,122,unknown,none,"white, blue",black,unknown,male,Troiken,2023-02-17
Ben Quadinaros,163,65,none,"grey, green, yellow",orange,unknown,male,Tund,2023-02-17
Mace Windu,188,84,none,dark,brown,72BBY,male,Haruun Kal,2023-02-17
Ki-Adi-Mundi,198,82,white,pale,yellow,92BBY,male,Cerea,2023-02-17
Kit Fisto,196,87,none,green,black,unknown,male,Glee Anselm,2023-02-17
Eeth Koth,171,unknown,black,brown,brown,unknown,male,Iridonia,2023-02-17
Adi Gallia,184,50,none,dark,blue,unknown,female,Coruscant,2023-02-17
Saesee Tiin,188,unknown,none,pale,orange,unknown,male,Iktotch,2023-02-17
Yarael Poof,264,unknown,none,white,yellow,unknown,male,Quermia,2023-02-17
Plo Koon,188,80,none,orange,black,22BBY,male,Dorin,2023-02-17
Mas Amedda,196,unknown,none,blue,blue,unknown,male,Champala,2023-02-17
Gregar Typho,185,85,black,dark,brown,unknown,male,Naboo,2023-02-17
Cordé,157,unknown,brown,light,brown,unknown,female,Naboo,2023-02-17
Cliegg Lars,183,unknown,brown,fair,blue,82BBY,male,Tatooine,2023-02-17
Poggle the Lesser,183,80,none,green,yellow,unknown,male,Geonosis,2023-02-17
Luminara Unduli,170,56.2,black,yellow,blue,58BBY,female,Mirial,2023-02-17
Barriss Offee,166,50,black,yellow,blue,40BBY,female,Mirial,2023-02-17
Dormé,165,unknown,brown,light,brown,unknown,female,Naboo,2023-02-17
Dooku,193,80,white,fair,brown,102BBY,male,Serenno,2023-02-17
Bail Prestor Organa,191,unknown,black,tan,brown,67BBY,male,Alderaan,2023-02-17
Jango Fett,183,79,black,tan,brown,66BBY,male,Concord Dawn,2023-02-17
Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,unknown,female,Zolan,2023-02-17
Dexter Jettster,198,102,none,brown,yellow,unknown,male,Ojom,2023-02-17
Lama Su,229,88,none,grey,black,unknown,male,Kamino,2023-02-17
Taun We,213,unknown,none,grey,black,unknown,female,Kamino,2023-02-17
Jocasta Nu,167,unknown,white,fair,blue,unknown,female,Coruscant,2023-02-17
R4-P17,96,unknown,none,"silver, red","red, blue",unknown,female,unknown,2023-02-17
Wat Tambor,193,48,none,"green, grey",unknown,unknown,male,Skako,2023-02-17
San Hill,191,unknown,none,grey,gold,unknown,male,Muunilinst,2023-02-17
Shaak Ti,178,57,none,"red, blue, white",black,unknown,female,Shili,2023-02-17
Grievous,216,159,none,"brown, white","green, yellow",unknown,male,Kalee,2023-02-17
Tarfful,234,136,brown,brown,blue,unknown,male,Kashyyyk,2023-02-17
Raymus Antilles,188,79,brown,light,brown,unknown,male,Alderaan,2023-02-17
Sly Moore,178,48,none,pale,white,unknown,female,Umbara,2023-02-17
Tion Medon,206,80,none,grey,black,unknown,male,Utapau,2023-02-17
